Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Italy,1141759996315,1162317852349,1266510634293,1569649661400,1798314750435,1852661982341,1942633797516,2203053380783,2390729163615,2185160183384,2125058244243,2276292404601,2072823157060,2130491320659,2151732868243,1832868490534,1859383610249,1934797937411
Jamaica,8985352832,9178016493,9694169757,9399447609,10150978155,11204416000,11905525197,12824094990,13678606692,12038829246,13191645686,14439910353,14800165407,14274983016,13897723431,14186886643,14056908749,14768134912
Jordan,8460424401,8975689845,9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,21972004086,23820230000,26425379437,28840263380,30937277606,33593843662,35826925775,37517410282,38654727746,40068308516
Japan,4887519660745,4303544259843,4115116279070,4445658071222,4815148854362,4755410630912,4530377224970,4515264514431,5037908465114,5231382674594,5700098114744,6157459594824,6203213121334,5155717056271,4850413536038,4394977752878,4949273341994,4872136945508
Kazakhstan,18291990619,22152694162,24636593223,30833699703,43151647003,57123671734,81003884545,104849886826,133441612247,115308661143,148047348241,192626507972,207998568866,236634552078,221415572820,184388432149,137278320084,159406926359
Kenya,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,40000088347,41954942417,50334699324,55096730083,61448046802,64007293815,70875289605,74938190655
Kyrgyz Republic,1369693171,1525112242,1605640633,1919012781,2211535312,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7564738836
Cambodia,3677897739,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22158209503
Kiribati,67254174.4,63101272.37,72196457.68,90231856.8,102367039.3,112133944.3,108545632.5,130754915.9,139125482.3,130465372,153275912.7,177142135.1,188045661.6,187153601.1,178869298.7,169140560.4,181551516.5,196150061.3
St. Kitts and Nevis,420515107.7,461078078.1,483120194.3,465850739.6,502561629.6,543167666.7,636218037,674008481.5,738942555.6,723209111.1,705015370.4,753225963,734462666.7,788163888.9,847778185.2,878281518.5,909854629.6,945854481.5
